dataset,method,runs,f1_mean,acc_mean,auc_mean,time_mean
100K,v4+svm,1,0.9999243232872179,0.99998,0.9998924089039034,1994.9744186401367
100K,v1+lr,1,0.999924313461334,0.99998,0.9999787030594889,72.29650640487671
100K,v1+rf,1,0.999924313461334,0.99998,0.9999999818375889,117.77403402328491
100K,v1+svm,1,0.999924313461334,0.99998,0.9998787099053559,71.96970701217651
100K,v2+svm,1,0.999924313461334,0.99998,0.9999999394586299,20.113718271255493
100K,v5+rf,1,0.999924313461334,0.99998,0.9999999651887121,20.467204332351685
100K,v2+rf,1,0.9998486072653383,0.99996,0.9999996072378606,7.394700050354004
100K,v3+rf,1,0.9998107467932333,0.99995,0.9999997790239986,14.478667974472046
100K,v4+rf,1,0.9998107467932333,0.99995,0.999999993945863,1859.6193096637726
100K,v2+lr,1,0.9989044652105011,0.99971,0.9999985076552239,5.606432676315308
100K,v4+lr,1,0.9986408182515758,0.99964,0.9998848488002966,1837.4602880477905
100K,v3+svm,1,0.9975489365739105,0.99935,0.9999577103393631,28.571613311767578
100K,v5+svm,1,0.996538186547747,0.99908,0.9999981292716601,53.46031832695007
100K,v2+m,1,0.9954158370214691,0.99878,0.9999310100815594,4.6343677043914795
100K,v1+c,1,0.992891834967401,0.9981,0.9994072394441207,71.79887199401855
100K,v5+lr,1,0.98780017194408,0.99671,0.9999360804213158,18.38889789581299
100K,v3+lr,1,0.9812601531944483,0.99489,0.9999346743479922,12.45129108428955
100K,v2+c,1,0.9796117449537856,0.99442,0.9999310100815593,4.625588417053223
100K,v3+m,1,0.8753021120339717,0.9724,0.9877072458050511,11.913859367370605
100K,v5+m,1,0.8632211172460699,0.96997,0.9843431934323523,18.06358551979065
100K,v4+m,1,0.8338062944635205,0.93987,0.9821942441984389,1852.6575467586517
100K,v3+c,1,0.7961222117290938,0.92091,0.9867903346447093,11.945982933044434
100K,v4+c,1,0.7680987613701868,0.90232,0.9821942441984389,1849.2209210395813
100K,v5+c,1,0.7639630416999956,0.90042,0.9843365157192165,18.756279706954956
100K,v1+m,12,0.6931406111270034,0.9294823619540619,0.9812872896324708,346.5651344060898
hdfs_df-100K,v1+lr,1,0.925140830662003,0.9602967317794969,0.9825952659272539,246.62078976631165
