dataset,v1+c,v1+lr,v1+m,v1+rf,v1+svm,v2+c,v2+lr,v2+m,v2+rf,v2+svm,v3+c,v3+lr,v3+m,v3+rf,v3+svm,v4+c,v4+lr,v4+m,v4+rf,v4+svm,v5+c,v5+lr,v5+m,v5+rf,v5+svm
100K,0.992891834967401,0.999924313461334,0.6931406111270034,0.999924313461334,0.999924313461334,0.9796117449537856,0.9989044652105011,0.9954158370214691,0.9998486072653383,0.999924313461334,0.7961222117290938,0.9812601531944483,0.8753021120339717,0.9998107467932333,0.9975489365739105,0.7680987613701868,0.9986408182515758,0.8338062944635205,0.9998107467932333,0.9999243232872179,0.7639630416999956,0.98780017194408,0.8632211172460699,0.999924313461334,0.996538186547747
hdfs_df-100K,0.9175585428105714,0.925140830662003,0.9192296777280397,0.8844163937431797,0.9250487293034795,0.48829149070163647,0.8469429991139278,0.4810806905868998,0.861198699864363,0.8514167378415807,0.49419374790456777,0.45042279238752975,0.4626856911124392,0.4707442622548907,0.4524660767448825,0.44575680805431683,0.5352077168015701,0.4626856911124392,0.46351146545090627,0.5391286107794273,0.4042063078830422,0.5187656323770754,0.4626856911124392,0.5233864854550528,0.51994223753094
tb_df-100K,0.9276163659916492,0.9527012617492518,0.9274636105416221,0.9517835816726905,0.945601306908048,0.8922415035631734,0.9291189968193976,0.9233088807532237,0.9365541270517077,0.9294138371486744,0.6543318534691664,0.9159274275168385,0.5254001412048098,0.8057967381067501,0.9199191097379327,0.5510353257817784,0.9273022733303269,0.6949781133655978,0.9114355463728907,0.929203030404176,0.6295676691508133,0.9173753152569463,0.7867380977245859,0.9132616098480324,0.9228636687320494
