dataset,v1+c,v1+lr,v1+m,v1+rf,v1+svm,v2+c,v2+lr,v2+m,v2+rf,v2+svm,v3+c,v3+lr,v3+m,v3+rf,v3+svm,v4+c,v4+lr,v4+m,v4+rf,v4+svm,v5+c,v5+lr,v5+m,v5+rf,v5+svm
100K,71.79887199401855,72.29650640487671,346.5651344060898,117.77403402328491,71.96970701217651,4.625588417053223,5.606432676315308,4.6343677043914795,7.394700050354004,20.113718271255493,11.945982933044434,12.45129108428955,11.913859367370605,14.478667974472046,28.571613311767578,1849.2209210395813,1837.4602880477905,1852.6575467586517,1859.6193096637726,1994.9744186401367,18.756279706954956,18.38889789581299,18.06358551979065,20.467204332351685,53.46031832695007
hdfs_df-100K,78.75874352455139,246.62078976631165,78.67775344848633,562.6995050907135,84.85129642486572,6.204787254333496,12.643835544586182,6.180505990982056,86.29889178276062,11.454705476760864,11.670461177825928,16.510484218597412,11.849122285842896,37.89029359817505,17.43973445892334,1868.4609770774841,1902.4846880435944,1862.160218000412,1965.1144378185272,2006.9135546684265,52.545082330703735,58.72319841384888,51.98792052268982,89.94091272354126,71.38367366790771
tb_df-100K,78.41360878944397,193.29653811454773,78.35939908027649,233.18786430358887,92.49381399154663,5.270108699798584,7.657938003540039,5.229055404663086,14.377262830734253,11.176839828491211,14.684037685394287,15.482182264328003,15.539233207702637,23.213135957717896,22.89394211769104,1867.6641449928284,1888.70059299469,1880.2888572216034,1937.5219204425812,1978.5581481456757,52.282819509506226,52.440396785736084,51.00538086891174,61.03215312957764,53.77862596511841
