dataset,v1+c,v1+lr,v1+m,v1+rf,v1+svm,v2+c,v2+lr,v2+m,v2+rf,v2+svm,v3+c,v3+lr,v3+m,v3+rf,v3+svm,v4+c,v4+lr,v4+m,v4+rf,v4+svm,v5+c,v5+lr,v5+m,v5+rf,v5+svm
100K,0.9981,0.99998,0.9294823619540619,0.99998,0.99998,0.99442,0.99971,0.99878,0.99996,0.99998,0.92091,0.99489,0.9724,0.99995,0.99935,0.90232,0.99964,0.93987,0.99995,0.99998,0.90042,0.99671,0.96997,0.99998,0.99908
hdfs_df-100K,0.9556094024648202,0.9602967317794969,0.9566521346216869,0.9344469050716506,0.9602172855199261,0.5790837860114999,0.9102356574674518,0.8634616721451484,0.9211992412882211,0.9125693913423438,0.6249739316960783,0.7959224207275292,0.8611080767053636,0.8601646523729605,0.8011360815118623,0.5132824215219918,0.6247951776120441,0.8611080767053636,0.860780360884634,0.6268905727082237,0.43780847492973973,0.5949631071432118,0.8611080767053636,0.8641568269163927,0.5930266045661737
tb_df-100K,0.9880677520799331,0.992784920982445,0.9880478484136778,0.9928545838143386,0.9918295450021894,0.980822817562995,0.9883464034075077,0.9872517017634649,0.9903566736992954,0.988396162573146,0.8813641972851399,0.9857987341268262,0.9575056725448827,0.9771406393057601,0.9865849289439115,0.7658433183392381,0.9880080410811671,0.9268639783448112,0.9869630986027627,0.9883563552406354,0.8563353369690697,0.986097289120656,0.9765435293181004,0.9871123760996776,0.9871720870984435
